"timestamps","open","high","low","close","volume","amount"
"2035-01-19","2.029","2.058","2.004","2.033","1096000","2228168"
"2035-04-11","2.027","2.056","2.002","2.031","1097200","2228413.2"
"2035-07-03","2.024","2.054","1.999","2.029","1098400","2228653.6"
"2035-09-25","2.021","2.052","1.996","2.027","1099600","2228889.2"
"2035-12-19","2.019","2.051","1.994","2.026","1100800","2230220.8"
"2036-03-14","2.018","2.051","1.993","2.026","1102000","2232652"
"2036-06-09","2.018","2.052","1.993","2.027","1103200","2236186.4"
"2036-09-05","2.018","2.053","1.993","2.028","1104400","2239723.2"
"2036-12-03","2.019","2.055","1.994","2.03","1105600","2244368"
"2037-03-03","2.02","2.057","1.995","2.032","1106800","2249017.6"
"2037-06-02","2.022","2.06","1.997","2.035","1108000","2254780"
"2037-09-02","2.026","2.064","2.001","2.039","1109200","2261658.8"
"2037-12-04","2.029","2.068","2.004","2.043","1110400","2268547.2"
"2038-03-08","2.034","2.073","2.009","2.048","1111600","2276556.8"
"2038-06-11","2.039","2.078","2.014","2.053","1112800","2284578.4"
"2038-09-15","2.043","2.082","2.018","2.057","1114000","2291498"
"2038-12-21","2.048","2.087","2.023","2.062","1115200","2299542.4"
"2039-03-29","2.053","2.091","2.028","2.066","1116400","2306482.4"
"2039-07-06","2.057","2.095","2.032","2.07","1117600","2313432"
"2039-10-14","2.062","2.099","2.037","2.074","1118800","2320391.2"
"2040-01-23","2.065","2.101","2.04","2.076","1120000","2325120"
"2040-05-04","2.068","2.104","2.043","2.079","1121200","2330974.8"
"2040-08-15","2.07","2.105","2.045","2.08","1122400","2334592"
"2040-11-27","2.072","2.106","2.047","2.081","1123600","2338211.6"
"2041-03-12","2.073","2.106","2.048","2.081","1124800","2340708.8"
"2041-06-26","2.074","2.106","2.049","2.081","1126000","2343206"
"2041-10-11","2.073","2.104","2.048","2.079","1127200","2343448.8"
"2042-01-27","2.073","2.103","2.048","2.078","1128400","2344815.2"
"2042-05-16","2.072","2.101","2.047","2.076","1129600","2345049.6"
"2042-09-03","2.07","2.098","2.045","2.073","1130800","2344148.4"
"2042-12-23","2.068","2.096","2.043","2.071","1132000","2344372"
"2043-04-14","2.066","2.093","2.041","2.068","1133200","2343457.6"
"2043-08-05","2.064","2.091","2.039","2.066","1134400","2343670.4"
"2043-11-27","2.062","2.089","2.037","2.064","1135600","2343878.4"
"2044-03-21","2.06","2.087","2.035","2.062","1136800","2344081.6"
"2044-07-15","2.059","2.086","2.034","2.061","1138000","2345418"
"2044-11-09","2.058","2.086","2.033","2.061","1139200","2347891.2"
"2045-03-07","2.058","2.086","2.033","2.061","1140400","2350364.4"
"2045-07-04","2.058","2.087","2.033","2.062","1141600","2353979.2"
"2045-11-01","2.058","2.088","2.033","2.063","1142800","2357596.4"
